Jul.Day,YYYY/MM/DD,Wdy,IDR/EUR
2457661,9/29/2016,Thu,14586
2457662,9/30/2016,Fri,14595
2457665,10/3/2016,Mon,14582
2457666,10/4/2016,Tue,14621
2457667,10/5/2016,Wed,14605
2457668,10/6/2016,Thu,14450
2457669,10/7/2016,Fri,14551
2457673,10/11/2016,Tue,14357
2457674,10/12/2016,Wed,14334
2457675,10/13/2016,Thu,14447
2457676,10/14/2016,Fri,14322
2457679,10/17/2016,Mon,14308
2457680,10/18/2016,Tue,14267
2457681,10/19/2016,Wed,14230
2457682,10/20/2016,Thu,14287
2457683,10/21/2016,Fri,14194
2457686,10/24/2016,Mon,14151
2457687,10/25/2016,Tue,14096
2457688,10/26/2016,Wed,14157
2457689,10/27/2016,Thu,14170
2457690,10/28/2016,Fri,14209
2457693,10/31/2016,Mon,14264
2457694,11/1/2016,Tue,14345
2457695,11/2/2016,Wed,14454
2457696,11/3/2016,Thu,14559
2457697,11/4/2016,Fri,14481
2457700,11/7/2016,Mon,14481
2457701,11/8/2016,Tue,14428
2457702,11/9/2016,Wed,14394
2457703,11/10/2016,Thu,14236
2457707,11/14/2016,Mon,14277
2457708,11/15/2016,Tue,14301
2457709,11/16/2016,Wed,14354
2457710,11/17/2016,Thu,14309
2457711,11/18/2016,Fri,14188
2457714,11/21/2016,Mon,14239
2457715,11/22/2016,Tue,14276
2457716,11/23/2016,Wed,14223
2457717,11/24/2016,Thu,14383
2457718,11/25/2016,Fri,14317
2457721,11/28/2016,Mon,14314
2457722,11/29/2016,Tue,14419
2457723,11/30/2016,Wed,14345
2457724,12/1/2016,Thu,14466
2457725,12/2/2016,Fri,14473
2457728,12/5/2016,Mon,14375
2457729,12/6/2016,Tue,14377
2457730,12/7/2016,Wed,14401
2457731,12/8/2016,Thu,14049
2457732,12/9/2016,Fri,14015
2457735,12/12/2016,Mon,14078
2457736,12/13/2016,Tue,14093
2457737,12/14/2016,Wed,14124
2457738,12/15/2016,Thu,13898
2457739,12/16/2016,Fri,13944
2457742,12/19/2016,Mon,13995
2457743,12/20/2016,Tue,13901
2457744,12/21/2016,Wed,14112
2457745,12/22/2016,Thu,14077
2457746,12/23/2016,Fri,14001
2457751,12/28/2016,Wed,13944
2457752,12/29/2016,Thu,14140
2457753,12/30/2016,Fri,14169
2457757,1/3/2017,Tue,13996
2457758,1/4/2017,Wed,14066
2457759,1/5/2017,Thu,14148
2457760,1/6/2017,Fri,14096
2457763,1/9/2017,Mon,14124
2457764,1/10/2017,Tue,14104
2457765,1/11/2017,Wed,14033
2457766,1/12/2017,Thu,14144
2457767,1/13/2017,Fri,14096
2457770,1/16/2017,Mon,14238
2457771,1/17/2017,Tue,14253
2457772,1/18/2017,Wed,14218
2457773,1/19/2017,Thu,14169
2457774,1/20/2017,Fri,14389
2457777,1/23/2017,Mon,14416
2457778,1/24/2017,Tue,14279
2457779,1/25/2017,Wed,14333
2457780,1/26/2017,Thu,14266
2457781,1/27/2017,Fri,14298
2457784,1/30/2017,Mon,14268
2457785,1/31/2017,Tue,14350
2457786,2/1/2017,Wed,14366
2457787,2/2/2017,Thu,14351
2457788,2/3/2017,Fri,14467
2457791,2/6/2017,Mon,14362
2457792,2/7/2017,Tue,14218
2457793,2/8/2017,Wed,14229
2457794,2/9/2017,Thu,14146
2457795,2/10/2017,Fri,14206
2457798,2/13/2017,Mon,14141
2457799,2/14/2017,Tue,14131
2457800,2/15/2017,Wed,14147
2457801,2/16/2017,Thu,14204
2457802,2/17/2017,Fri,14206
2457806,2/21/2017,Tue,14156
2457807,2/22/2017,Wed,14060
2457808,2/23/2017,Thu,14159
2457809,2/24/2017,Fri,14148
2457812,2/27/2017,Mon,14204
2457813,2/28/2017,Tue,14208
2457814,3/1/2017,Wed,14098
2457815,3/2/2017,Thu,14073
2457816,3/3/2017,Fri,14160
2457819,3/6/2017,Mon,14194
2457820,3/7/2017,Tue,14193
2457821,3/8/2017,Wed,14077
2457822,3/9/2017,Thu,14154
2457823,3/10/2017,Fri,14225
2457826,3/13/2017,Mon,14212
2457827,3/14/2017,Tue,14190
2457828,3/15/2017,Wed,14159
2457829,3/16/2017,Thu,14297
2457830,3/17/2017,Fri,14360
2457833,3/20/2017,Mon,14363
2457834,3/21/2017,Tue,14398
2457835,3/22/2017,Wed,14415
2457836,3/23/2017,Thu,14382
2457837,3/24/2017,Fri,14449
2457840,3/27/2017,Mon,14546
2457841,3/28/2017,Tue,14500
2457842,3/29/2017,Wed,14383
2457843,3/30/2017,Thu,14244
2457844,3/31/2017,Fri,14251
